16:41:45.150 | === Inference Log Started ===
16:41:51.245 | FPS:99864.4 | mouse_delta:(+0.256, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.567 | back:0.413 | left:0.531 | right:0.573 | jump:0.503 | crouch:0.479 | shift:0.492 | weapon1:0.506 | weapon2:0.544 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.560 | decoy:0.488 | use:0.463
16:41:51.635 | FPS:0.6 | mouse_delta:(+0.256, -0.037) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.567 | back:0.413 | left:0.531 | right:0.573 | jump:0.503 | crouch:0.479 | shift:0.492 | weapon1:0.506 | weapon2:0.544 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.560 | decoy:0.488 | use:0.463
16:41:52.053 | FPS:0.8 | mouse_delta:(+0.256, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.567 | back:0.413 | left:0.531 | right:0.573 | jump:0.503 | crouch:0.479 | shift:0.492 | weapon1:0.506 | weapon2:0.543 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.560 | decoy:0.488 | use:0.463
16:41:52.398 | FPS:0.9 | mouse_delta:(+0.256, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.567 | back:0.413 | left:0.531 | right:0.573 | jump:0.503 | crouch:0.479 | shift:0.492 | weapon1:0.506 | weapon2:0.543 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.560 | decoy:0.488 | use:0.463
16:41:52.756 | FPS:1.1 | mouse_delta:(+0.256, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.567 | back:0.413 | left:0.531 | right:0.573 | jump:0.504 | crouch:0.479 | shift:0.492 | weapon1:0.505 | weapon2:0.543 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.561 | decoy:0.488 | use:0.463
16:41:53.088 | FPS:1.2 | mouse_delta:(+0.257, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.566 | back:0.413 | left:0.531 | right:0.573 | jump:0.504 | crouch:0.479 | shift:0.492 | weapon1:0.505 | weapon2:0.543 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.561 | decoy:0.488 | use:0.463
16:41:53.402 | FPS:1.3 | mouse_delta:(+0.257, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.566 | back:0.413 | left:0.531 | right:0.573 | jump:0.504 | crouch:0.479 | shift:0.492 | weapon1:0.505 | weapon2:0.543 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.561 | decoy:0.488 | use:0.463
16:41:53.720 | FPS:1.4 | mouse_delta:(+0.257, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.566 | back:0.413 | left:0.531 | right:0.573 | jump:0.504 | crouch:0.479 | shift:0.492 | weapon1:0.505 | weapon2:0.543 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.561 | decoy:0.488 | use:0.463
16:41:54.049 | FPS:1.5 | mouse_delta:(+0.257, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.566 | back:0.413 | left:0.531 | right:0.573 | jump:0.504 | crouch:0.479 | shift:0.493 | weapon1:0.505 | weapon2:0.543 | weapon3:0.486 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.561 | decoy:0.488 | use:0.463
16:41:54.379 | FPS:1.6 | mouse_delta:(+0.257, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.566 | back:0.413 | left:0.532 | right:0.573 | jump:0.504 | crouch:0.479 | shift:0.493 | weapon1:0.505 | weapon2:0.543 | weapon3:0.485 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.487 | flash:0.561 | decoy:0.488 | use:0.463
16:41:54.722 | FPS:1.7 | mouse_delta:(+0.257, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.420 | forward:0.566 | back:0.413 | left:0.532 | right:0.573 | jump:0.504 | crouch:0.479 | shift:0.493 | weapon1:0.504 | weapon2:0.543 | weapon3:0.485 | c4:0.449 | reload:0.468 | he:0.489 | molotov:0.511 | smoke:0.488 | flash:0.560 | decoy:0.489 | use:0.463
16:41:55.056 | FPS:1.7 | mouse_delta:(+0.257, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.419 | forward:0.566 | back:0.413 | left:0.532 | right:0.573 | jump:0.504 | crouch:0.478 | shift:0.493 | weapon1:0.504 | weapon2:0.543 | weapon3:0.484 | c4:0.449 | reload:0.469 | he:0.490 | molotov:0.511 | smoke:0.488 | flash:0.560 | decoy:0.489 | use:0.463
16:41:55.407 | FPS:1.8 | mouse_delta:(+0.258, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.417 | second_fire:0.419 | forward:0.566 | back:0.414 | left:0.533 | right:0.574 | jump:0.505 | crouch:0.478 | shift:0.494 | weapon1:0.504 | weapon2:0.542 | weapon3:0.483 | c4:0.449 | reload:0.469 | he:0.490 | molotov:0.511 | smoke:0.489 | flash:0.560 | decoy:0.489 | use:0.464
16:41:55.736 | FPS:1.8 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.419 | forward:0.566 | back:0.414 | left:0.533 | right:0.574 | jump:0.506 | crouch:0.477 | shift:0.495 | weapon1:0.503 | weapon2:0.542 | weapon3:0.483 | c4:0.449 | reload:0.469 | he:0.490 | molotov:0.511 | smoke:0.489 | flash:0.560 | decoy:0.489 | use:0.464
16:41:56.077 | FPS:1.9 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.418 | second_fire:0.419 | forward:0.566 | back:0.414 | left:0.533 | right:0.574 | jump:0.506 | crouch:0.477 | shift:0.495 | weapon1:0.503 | weapon2:0.541 | weapon3:0.482 | c4:0.449 | reload:0.469 | he:0.491 | molotov:0.511 | smoke:0.490 | flash:0.560 | decoy:0.489 | use:0.464
16:41:56.402 | FPS:1.9 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.419 | second_fire:0.419 | forward:0.566 | back:0.415 | left:0.533 | right:0.574 | jump:0.507 | crouch:0.477 | shift:0.496 | weapon1:0.502 | weapon2:0.541 | weapon3:0.481 | c4:0.449 | reload:0.469 | he:0.491 | molotov:0.511 | smoke:0.491 | flash:0.560 | decoy:0.489 | use:0.464
16:41:56.720 | FPS:2.0 | mouse_delta:(+0.259, -0.038) | mouse_px:(+11, -1) | pressed:[1,2,a,d,f,mouse4,space,w] | keys: fire:0.420 | second_fire:0.419 | forward:0.566 | back:0.415 | left:0.533 | right:0.575 | jump:0.508 | crouch:0.477 | shift:0.496 | weapon1:0.502 | weapon2:0.541 | weapon3:0.481 | c4:0.449 | reload:0.469 | he:0.491 | molotov:0.512 | smoke:0.491 | flash:0.561 | decoy:0.489 | use:0.465
