16:42:47.717 | === Inference Log Started ===
16:42:55.844 | FPS:89240.5 | mouse_delta:(-0.037, -0.144) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.452 | left:0.469 | right:0.514 | jump:0.505 | crouch:0.403 | shift:0.533 | weapon1:0.444 | weapon2:0.462 | weapon3:0.561 | c4:0.538 | reload:0.578 | he:0.535 | molotov:0.446 | smoke:0.505 | flash:0.517 | decoy:0.439 | use:0.567
16:42:56.284 | FPS:0.5 | mouse_delta:(-0.037, -0.144) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.452 | left:0.469 | right:0.514 | jump:0.505 | crouch:0.403 | shift:0.533 | weapon1:0.444 | weapon2:0.462 | weapon3:0.561 | c4:0.538 | reload:0.578 | he:0.535 | molotov:0.446 | smoke:0.505 | flash:0.517 | decoy:0.439 | use:0.567
16:42:56.684 | FPS:0.7 | mouse_delta:(-0.036, -0.145) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.452 | left:0.469 | right:0.514 | jump:0.505 | crouch:0.403 | shift:0.533 | weapon1:0.444 | weapon2:0.462 | weapon3:0.561 | c4:0.539 | reload:0.578 | he:0.535 | molotov:0.446 | smoke:0.505 | flash:0.517 | decoy:0.439 | use:0.567
16:42:57.074 | FPS:0.8 | mouse_delta:(-0.035, -0.145) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.452 | left:0.469 | right:0.514 | jump:0.505 | crouch:0.403 | shift:0.533 | weapon1:0.444 | weapon2:0.462 | weapon3:0.561 | c4:0.539 | reload:0.578 | he:0.535 | molotov:0.446 | smoke:0.505 | flash:0.517 | decoy:0.439 | use:0.567
16:42:57.417 | FPS:1.0 | mouse_delta:(-0.034, -0.146) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.452 | left:0.469 | right:0.514 | jump:0.505 | crouch:0.403 | shift:0.533 | weapon1:0.444 | weapon2:0.462 | weapon3:0.561 | c4:0.539 | reload:0.578 | he:0.534 | molotov:0.446 | smoke:0.505 | flash:0.517 | decoy:0.439 | use:0.567
16:42:57.761 | FPS:1.1 | mouse_delta:(-0.033, -0.147) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.452 | left:0.469 | right:0.514 | jump:0.506 | crouch:0.403 | shift:0.533 | weapon1:0.444 | weapon2:0.463 | weapon3:0.560 | c4:0.539 | reload:0.578 | he:0.534 | molotov:0.446 | smoke:0.506 | flash:0.517 | decoy:0.439 | use:0.567
16:42:58.105 | FPS:1.2 | mouse_delta:(-0.033, -0.147) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.452 | left:0.469 | right:0.514 | jump:0.506 | crouch:0.403 | shift:0.533 | weapon1:0.444 | weapon2:0.463 | weapon3:0.560 | c4:0.540 | reload:0.578 | he:0.534 | molotov:0.446 | smoke:0.506 | flash:0.517 | decoy:0.440 | use:0.567
16:42:58.449 | FPS:1.3 | mouse_delta:(-0.032, -0.148) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.557 | back:0.451 | left:0.469 | right:0.514 | jump:0.506 | crouch:0.402 | shift:0.533 | weapon1:0.444 | weapon2:0.463 | weapon3:0.560 | c4:0.540 | reload:0.578 | he:0.534 | molotov:0.446 | smoke:0.506 | flash:0.517 | decoy:0.440 | use:0.567
16:42:58.785 | FPS:1.4 | mouse_delta:(-0.031, -0.149) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.484 | second_fire:0.517 | forward:0.557 | back:0.451 | left:0.469 | right:0.514 | jump:0.506 | crouch:0.402 | shift:0.533 | weapon1:0.445 | weapon2:0.463 | weapon3:0.560 | c4:0.541 | reload:0.578 | he:0.534 | molotov:0.446 | smoke:0.506 | flash:0.517 | decoy:0.440 | use:0.567
16:42:59.125 | FPS:1.5 | mouse_delta:(-0.031, -0.150) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.556 | back:0.451 | left:0.469 | right:0.513 | jump:0.506 | crouch:0.402 | shift:0.533 | weapon1:0.446 | weapon2:0.463 | weapon3:0.559 | c4:0.542 | reload:0.578 | he:0.534 | molotov:0.446 | smoke:0.507 | flash:0.517 | decoy:0.440 | use:0.568
16:42:59.477 | FPS:1.5 | mouse_delta:(-0.031, -0.152) | mouse_px:(-1, -6) | pressed:[3,4,5,d,e,f,mouse2,mouse5,r,shift,space,w] | keys: fire:0.485 | second_fire:0.517 | forward:0.556 | back:0.451 | left:0.469 | right:0.513 | jump:0.506 | crouch:0.401 | shift:0.533 | weapon1:0.446 | weapon2:0.464 | weapon3:0.558 | c4:0.543 | reload:0.578 | he:0.534 | molotov:0.445 | smoke:0.507 | flash:0.516 | decoy:0.441 | use:0.568
