16:57:12.112 | === Inference Log Started ===
16:57:16.457 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
16:57:19.610 | FPS:93206.8 | mouse_delta:(-0.046, +0.181) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.512 | second_fire:0.549 | forward:0.547 | back:0.452 | left:0.509 | right:0.543 | jump:0.403 | crouch:0.442 | shift:0.576 | weapon1:0.563 | weapon2:0.522 | weapon3:0.518 | c4:0.489 | reload:0.563 | he:0.473 | molotov:0.375 | smoke:0.465 | flash:0.462 | decoy:0.508 | use:0.458
16:57:19.894 | FPS:0.6 | mouse_delta:(-0.047, +0.182) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.512 | second_fire:0.549 | forward:0.547 | back:0.452 | left:0.509 | right:0.543 | jump:0.403 | crouch:0.442 | shift:0.576 | weapon1:0.563 | weapon2:0.522 | weapon3:0.518 | c4:0.489 | reload:0.563 | he:0.473 | molotov:0.375 | smoke:0.464 | flash:0.462 | decoy:0.508 | use:0.458
16:57:20.132 | FPS:0.9 | mouse_delta:(-0.048, +0.182) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.512 | second_fire:0.549 | forward:0.547 | back:0.453 | left:0.509 | right:0.543 | jump:0.403 | crouch:0.442 | shift:0.575 | weapon1:0.563 | weapon2:0.522 | weapon3:0.518 | c4:0.489 | reload:0.563 | he:0.474 | molotov:0.375 | smoke:0.464 | flash:0.462 | decoy:0.508 | use:0.458
16:57:20.340 | FPS:1.1 | mouse_delta:(-0.048, +0.182) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.512 | second_fire:0.549 | forward:0.547 | back:0.453 | left:0.509 | right:0.543 | jump:0.403 | crouch:0.442 | shift:0.575 | weapon1:0.563 | weapon2:0.522 | weapon3:0.518 | c4:0.489 | reload:0.563 | he:0.474 | molotov:0.375 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.458
16:57:20.544 | FPS:1.3 | mouse_delta:(-0.049, +0.182) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.512 | second_fire:0.549 | forward:0.548 | back:0.453 | left:0.509 | right:0.543 | jump:0.403 | crouch:0.442 | shift:0.575 | weapon1:0.563 | weapon2:0.521 | weapon3:0.518 | c4:0.489 | reload:0.563 | he:0.474 | molotov:0.375 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.458
16:57:20.738 | FPS:1.5 | mouse_delta:(-0.050, +0.182) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.512 | second_fire:0.549 | forward:0.548 | back:0.453 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.442 | shift:0.575 | weapon1:0.563 | weapon2:0.521 | weapon3:0.518 | c4:0.489 | reload:0.563 | he:0.474 | molotov:0.375 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.459
16:57:20.934 | FPS:1.6 | mouse_delta:(-0.050, +0.182) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.512 | second_fire:0.549 | forward:0.548 | back:0.453 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.442 | shift:0.575 | weapon1:0.563 | weapon2:0.521 | weapon3:0.518 | c4:0.489 | reload:0.563 | he:0.474 | molotov:0.375 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.459
16:57:21.118 | FPS:1.8 | mouse_delta:(-0.050, +0.183) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.513 | second_fire:0.549 | forward:0.548 | back:0.453 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.442 | shift:0.575 | weapon1:0.563 | weapon2:0.521 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.459
16:57:21.329 | FPS:1.9 | mouse_delta:(-0.051, +0.183) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.513 | second_fire:0.549 | forward:0.548 | back:0.453 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.442 | shift:0.575 | weapon1:0.564 | weapon2:0.521 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.459
16:57:21.510 | FPS:2.1 | mouse_delta:(-0.051, +0.183) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.513 | second_fire:0.549 | forward:0.548 | back:0.453 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.442 | shift:0.575 | weapon1:0.564 | weapon2:0.521 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.459
16:57:21.693 | FPS:2.2 | mouse_delta:(-0.052, +0.183) | mouse_px:(-2, +8) | pressed:[none] | keys: fire:0.513 | second_fire:0.549 | forward:0.548 | back:0.453 | left:0.508 | right:0.544 | jump:0.402 | crouch:0.442 | shift:0.575 | weapon1:0.564 | weapon2:0.520 | weapon3:0.518 | c4:0.489 | reload:0.564 | he:0.474 | molotov:0.376 | smoke:0.464 | flash:0.462 | decoy:0.509 | use:0.459
