17:15:29.327 | === Inference Log Started ===
17:15:32.753 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
17:15:36.011 | FPS:33962.0 | mouse_delta:(+0.185, +0.261) | mouse_px:(+8, +11) | pressed:[none] | keys: fire:0.441 | second_fire:0.516 | forward:0.431 | back:0.473 | left:0.541 | right:0.482 | jump:0.561 | crouch:0.444 | shift:0.462 | weapon1:0.553 | weapon2:0.455 | weapon3:0.493 | c4:0.461 | reload:0.469 | he:0.565 | molotov:0.433 | smoke:0.550 | flash:0.509 | decoy:0.543 | use:0.482
17:15:36.331 | FPS:0.9 | mouse_delta:(+0.184, +0.262) | mouse_px:(+8, +11) | pressed:[none] | keys: fire:0.441 | second_fire:0.516 | forward:0.430 | back:0.473 | left:0.541 | right:0.482 | jump:0.561 | crouch:0.444 | shift:0.462 | weapon1:0.553 | weapon2:0.455 | weapon3:0.493 | c4:0.461 | reload:0.469 | he:0.565 | molotov:0.433 | smoke:0.550 | flash:0.509 | decoy:0.543 | use:0.482
17:15:36.623 | FPS:1.1 | mouse_delta:(+0.183, +0.262) | mouse_px:(+8, +11) | pressed:[none] | keys: fire:0.441 | second_fire:0.516 | forward:0.430 | back:0.473 | left:0.541 | right:0.483 | jump:0.560 | crouch:0.444 | shift:0.462 | weapon1:0.553 | weapon2:0.455 | weapon3:0.493 | c4:0.461 | reload:0.469 | he:0.565 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:36.918 | FPS:1.3 | mouse_delta:(+0.183, +0.263) | mouse_px:(+8, +11) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.473 | left:0.541 | right:0.483 | jump:0.560 | crouch:0.444 | shift:0.462 | weapon1:0.553 | weapon2:0.455 | weapon3:0.493 | c4:0.461 | reload:0.469 | he:0.565 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:37.227 | FPS:1.4 | mouse_delta:(+0.182, +0.264) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.473 | left:0.541 | right:0.483 | jump:0.560 | crouch:0.444 | shift:0.462 | weapon1:0.553 | weapon2:0.455 | weapon3:0.493 | c4:0.461 | reload:0.469 | he:0.565 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:37.485 | FPS:1.6 | mouse_delta:(+0.182, +0.265) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.474 | left:0.541 | right:0.484 | jump:0.560 | crouch:0.445 | shift:0.462 | weapon1:0.553 | weapon2:0.455 | weapon3:0.493 | c4:0.461 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:37.744 | FPS:1.7 | mouse_delta:(+0.182, +0.266) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.474 | left:0.541 | right:0.484 | jump:0.560 | crouch:0.445 | shift:0.462 | weapon1:0.553 | weapon2:0.454 | weapon3:0.493 | c4:0.462 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:37.978 | FPS:1.8 | mouse_delta:(+0.182, +0.268) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.474 | left:0.541 | right:0.485 | jump:0.559 | crouch:0.445 | shift:0.462 | weapon1:0.553 | weapon2:0.454 | weapon3:0.493 | c4:0.462 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:38.216 | FPS:1.9 | mouse_delta:(+0.183, +0.270) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.474 | left:0.541 | right:0.485 | jump:0.559 | crouch:0.445 | shift:0.462 | weapon1:0.553 | weapon2:0.454 | weapon3:0.492 | c4:0.462 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:38.483 | FPS:2.0 | mouse_delta:(+0.183, +0.272) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.475 | left:0.541 | right:0.485 | jump:0.559 | crouch:0.445 | shift:0.462 | weapon1:0.552 | weapon2:0.454 | weapon3:0.492 | c4:0.462 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:38.745 | FPS:2.1 | mouse_delta:(+0.183, +0.273) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.475 | left:0.541 | right:0.486 | jump:0.559 | crouch:0.445 | shift:0.462 | weapon1:0.552 | weapon2:0.453 | weapon3:0.492 | c4:0.462 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.550 | flash:0.508 | decoy:0.543 | use:0.482
17:15:38.979 | FPS:2.2 | mouse_delta:(+0.184, +0.275) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.475 | left:0.541 | right:0.486 | jump:0.559 | crouch:0.445 | shift:0.461 | weapon1:0.552 | weapon2:0.453 | weapon3:0.492 | c4:0.462 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.551 | flash:0.509 | decoy:0.542 | use:0.482
17:15:39.202 | FPS:2.2 | mouse_delta:(+0.184, +0.277) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.475 | left:0.541 | right:0.486 | jump:0.558 | crouch:0.446 | shift:0.461 | weapon1:0.552 | weapon2:0.453 | weapon3:0.492 | c4:0.462 | reload:0.469 | he:0.566 | molotov:0.433 | smoke:0.551 | flash:0.509 | decoy:0.542 | use:0.482
17:15:39.455 | FPS:2.3 | mouse_delta:(+0.185, +0.279) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.430 | back:0.476 | left:0.541 | right:0.487 | jump:0.558 | crouch:0.446 | shift:0.461 | weapon1:0.552 | weapon2:0.453 | weapon3:0.492 | c4:0.462 | reload:0.469 | he:0.567 | molotov:0.433 | smoke:0.551 | flash:0.509 | decoy:0.542 | use:0.482
17:15:39.706 | FPS:2.4 | mouse_delta:(+0.185, +0.283) | mouse_px:(+8, +12) | pressed:[none] | keys: fire:0.440 | second_fire:0.516 | forward:0.429 | back:0.476 | left:0.540 | right:0.487 | jump:0.557 | crouch:0.447 | shift:0.460 | weapon1:0.552 | weapon2:0.453 | weapon3:0.491 | c4:0.462 | reload:0.469 | he:0.567 | molotov:0.433 | smoke:0.551 | flash:0.509 | decoy:0.542 | use:0.482
17:15:39.962 | FPS:2.4 | mouse_delta:(+0.185, +0.287) | mouse_px:(+8, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.515 | forward:0.429 | back:0.477 | left:0.540 | right:0.488 | jump:0.557 | crouch:0.447 | shift:0.459 | weapon1:0.552 | weapon2:0.453 | weapon3:0.491 | c4:0.462 | reload:0.469 | he:0.567 | molotov:0.433 | smoke:0.551 | flash:0.509 | decoy:0.542 | use:0.483
17:15:40.211 | FPS:2.5 | mouse_delta:(+0.185, +0.291) | mouse_px:(+8, +13) | pressed:[none] | keys: fire:0.441 | second_fire:0.515 | forward:0.429 | back:0.477 | left:0.539 | right:0.488 | jump:0.556 | crouch:0.449 | shift:0.458 | weapon1:0.552 | weapon2:0.453 | weapon3:0.491 | c4:0.461 | reload:0.468 | he:0.567 | molotov:0.434 | smoke:0.551 | flash:0.509 | decoy:0.541 | use:0.483
17:15:40.443 | FPS:2.5 | mouse_delta:(+0.185, +0.294) | mouse_px:(+8, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.515 | forward:0.429 | back:0.478 | left:0.538 | right:0.489 | jump:0.555 | crouch:0.450 | shift:0.457 | weapon1:0.552 | weapon2:0.452 | weapon3:0.490 | c4:0.461 | reload:0.468 | he:0.567 | molotov:0.434 | smoke:0.551 | flash:0.508 | decoy:0.541 | use:0.484
17:15:40.665 | FPS:2.6 | mouse_delta:(+0.183, +0.296) | mouse_px:(+8, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.515 | forward:0.428 | back:0.478 | left:0.538 | right:0.489 | jump:0.554 | crouch:0.451 | shift:0.456 | weapon1:0.552 | weapon2:0.452 | weapon3:0.489 | c4:0.460 | reload:0.467 | he:0.567 | molotov:0.435 | smoke:0.552 | flash:0.508 | decoy:0.541 | use:0.484
17:15:40.912 | FPS:2.7 | mouse_delta:(+0.181, +0.298) | mouse_px:(+8, +13) | pressed:[none] | keys: fire:0.442 | second_fire:0.515 | forward:0.429 | back:0.478 | left:0.537 | right:0.489 | jump:0.553 | crouch:0.452 | shift:0.455 | weapon1:0.552 | weapon2:0.452 | weapon3:0.488 | c4:0.459 | reload:0.467 | he:0.567 | molotov:0.435 | smoke:0.552 | flash:0.507 | decoy:0.541 | use:0.485
17:15:41.168 | FPS:2.7 | mouse_delta:(+0.177, +0.300) | mouse_px:(+8, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.515 | forward:0.428 | back:0.479 | left:0.536 | right:0.489 | jump:0.552 | crouch:0.453 | shift:0.454 | weapon1:0.552 | weapon2:0.452 | weapon3:0.488 | c4:0.459 | reload:0.467 | he:0.567 | molotov:0.435 | smoke:0.552 | flash:0.506 | decoy:0.541 | use:0.485
17:15:41.417 | FPS:2.7 | mouse_delta:(+0.173, +0.301) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.515 | forward:0.428 | back:0.480 | left:0.536 | right:0.490 | jump:0.551 | crouch:0.454 | shift:0.453 | weapon1:0.552 | weapon2:0.451 | weapon3:0.487 | c4:0.458 | reload:0.466 | he:0.567 | molotov:0.436 | smoke:0.551 | flash:0.506 | decoy:0.541 | use:0.486
17:15:41.646 | FPS:2.8 | mouse_delta:(+0.168, +0.303) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.515 | forward:0.429 | back:0.480 | left:0.535 | right:0.490 | jump:0.551 | crouch:0.455 | shift:0.453 | weapon1:0.552 | weapon2:0.451 | weapon3:0.486 | c4:0.457 | reload:0.466 | he:0.566 | molotov:0.436 | smoke:0.551 | flash:0.505 | decoy:0.541 | use:0.486
17:15:41.872 | FPS:2.8 | mouse_delta:(+0.164, +0.304) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.515 | forward:0.429 | back:0.481 | left:0.535 | right:0.491 | jump:0.550 | crouch:0.455 | shift:0.452 | weapon1:0.552 | weapon2:0.450 | weapon3:0.486 | c4:0.456 | reload:0.465 | he:0.566 | molotov:0.436 | smoke:0.551 | flash:0.504 | decoy:0.540 | use:0.487
17:15:42.116 | FPS:2.9 | mouse_delta:(+0.162, +0.304) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.481 | left:0.535 | right:0.491 | jump:0.550 | crouch:0.456 | shift:0.452 | weapon1:0.552 | weapon2:0.450 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.566 | molotov:0.436 | smoke:0.551 | flash:0.504 | decoy:0.540 | use:0.487
17:15:42.375 | FPS:2.9 | mouse_delta:(+0.161, +0.304) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.482 | left:0.535 | right:0.491 | jump:0.549 | crouch:0.456 | shift:0.452 | weapon1:0.552 | weapon2:0.450 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.566 | molotov:0.436 | smoke:0.551 | flash:0.504 | decoy:0.540 | use:0.487
17:15:42.616 | FPS:2.9 | mouse_delta:(+0.160, +0.304) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.482 | left:0.535 | right:0.491 | jump:0.549 | crouch:0.456 | shift:0.452 | weapon1:0.552 | weapon2:0.450 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.551 | flash:0.503 | decoy:0.540 | use:0.488
17:15:42.848 | FPS:2.9 | mouse_delta:(+0.160, +0.303) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.535 | right:0.491 | jump:0.549 | crouch:0.457 | shift:0.451 | weapon1:0.552 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:43.083 | FPS:3.0 | mouse_delta:(+0.159, +0.304) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.535 | right:0.491 | jump:0.548 | crouch:0.457 | shift:0.451 | weapon1:0.552 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:43.344 | FPS:2.9 | mouse_delta:(+0.157, +0.305) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.534 | right:0.491 | jump:0.548 | crouch:0.457 | shift:0.451 | weapon1:0.552 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:43.604 | FPS:2.8 | mouse_delta:(+0.156, +0.305) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.534 | right:0.491 | jump:0.548 | crouch:0.457 | shift:0.451 | weapon1:0.552 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:43.848 | FPS:4.0 | mouse_delta:(+0.156, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.535 | right:0.491 | jump:0.548 | crouch:0.457 | shift:0.451 | weapon1:0.552 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.568 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:44.098 | FPS:4.0 | mouse_delta:(+0.156, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.483 | left:0.535 | right:0.492 | jump:0.548 | crouch:0.457 | shift:0.451 | weapon1:0.553 | weapon2:0.449 | weapon3:0.485 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
17:15:44.334 | FPS:4.0 | mouse_delta:(+0.157, +0.306) | mouse_px:(+7, +13) | pressed:[none] | keys: fire:0.443 | second_fire:0.516 | forward:0.429 | back:0.484 | left:0.535 | right:0.492 | jump:0.547 | crouch:0.457 | shift:0.451 | weapon1:0.553 | weapon2:0.449 | weapon3:0.486 | c4:0.456 | reload:0.465 | he:0.567 | molotov:0.436 | smoke:0.552 | flash:0.503 | decoy:0.540 | use:0.488
