17:20:37.529 | === Inference Log Started ===
17:20:40.501 | DIAG: scene_frames=1 | radar_frames=1 | state=NO | audio=YES
17:20:43.691 | FPS:69327.3 | mouse_delta:(-0.022, +0.004) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:44.015 | FPS:0.9 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:44.286 | FPS:1.1 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:44.509 | FPS:1.3 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:44.752 | FPS:1.5 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:44.955 | FPS:1.6 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:45.174 | FPS:1.8 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:45.393 | FPS:1.9 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:45.613 | FPS:2.0 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:45.801 | FPS:2.2 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
17:20:45.998 | FPS:2.3 | mouse_delta:(-0.022, +0.005) | mouse_px:(+0, +0) | pressed:[none] | keys: fire:0.002 | second_fire:0.004 | forward:0.006 | back:0.001 | left:0.003 | right:0.001 | jump:0.000 | crouch:0.000 | shift:0.001 | weapon1:0.000 | weapon2:0.000 | weapon3:0.001 | c4:0.000 | reload:0.000 | he:0.000 | molotov:0.000 | smoke:0.001 | flash:0.000 | decoy:0.000 | use:0.004
